policy,nominal_capacity_percent,selected_n,c_actual,control_n,treatment_n,conversion_control,conversion_treatment,Q,reference_L,Q_minus_L,status,sparse_prefix
FROZEN_SIMPLE,28,782475,0.2799996564750692,116714,665761,421,3711,1309.5281885634972,753.2993251236913,556.2288634398059,point_estimate_only,False
FROZEN_SIMPLE,29,810421,0.2899998103456111,120833,689588,433,3844,1372.8902534903546,780.2033194237096,592.686934066645,point_estimate_only,False
FROZEN_SIMPLE,30,838367,0.29999996421615305,124856,713511,445,3982,1438.9712709040814,807.1073137237277,631.8639571803537,point_estimate_only,False
FROZEN_SIMPLE,31,866312,0.3099997602482254,129121,737191,459,4090,1469.4296125339797,834.0103453101445,635.4192672238352,point_estimate_only,False
FROZEN_SIMPLE,32,894258,0.3199999141187673,133244,761014,477,4216,1491.6470985560327,860.9143396101628,630.7327589458699,point_estimate_only,False
FROZEN_SIMPLE,33,922203,0.3299997101508397,137347,784856,491,4341,1535.228516094272,887.8173711965796,647.4111448976923,point_estimate_only,False
FROZEN_SIMPLE,34,950149,0.33999986402138155,141558,808591,508,4451,1549.2619986154086,914.7213654965976,634.540633118811,point_estimate_only,False
FROZEN_SIMPLE,35,978094,0.3499996600534539,145590,832504,522,4564,1579.1309293220688,941.6243970830145,637.5065322390543,point_estimate_only,False
FROZEN_SIMPLE,36,1006040,0.3599998139239958,149804,856236,535,4712,1654.095938693226,968.5283913830327,685.5675473101932,point_estimate_only,False
FROZEN_SIMPLE,37,1033986,0.36999996779453775,154047,879939,545,4856,1742.8802703071142,995.4323856830509,747.4478846240632,point_estimate_only,False
FROZEN_SIMPLE,38,1061931,0.3799997638266101,158196,903735,556,4997,1820.7081847834334,1022.3354172694678,798.3727675139655,point_estimate_only,False
FROZEN_SIMPLE,39,1089877,0.389999917697152,162397,927480,572,5133,1866.1997512269313,1049.2394115694858,816.9603396574455,point_estimate_only,False
FROZEN_SIMPLE,40,1117822,0.3999997137292243,166557,951265,590,5265,1895.3046404534184,1076.1424431559028,819.1621972975156,point_estimate_only,False
FROZEN_SIMPLE,41,1145768,0.40999986759976625,170740,975028,603,5404,1960.507649057046,1103.0464374559208,857.4612116011251,point_estimate_only,False
FROZEN_SIMPLE,42,1173713,0.4199996636318386,174912,998801,619,5534,1999.320738428467,1129.9494690423378,869.3712693861291,point_estimate_only,False
FROZEN_SIMPLE,43,1201659,0.42999981750238053,179028,1022631,633,5661,2045.222451236678,1156.853463342356,888.3689878943219,point_estimate_only,False
FROZEN_SIMPLE,44,1229605,0.43999997137292246,183103,1046502,644,5789,2108.299585479211,1183.757457642374,924.5421278368372,point_estimate_only,False
FROZEN_SIMPLE,45,1257550,0.44999976740499475,187292,1070258,650,5916,2201.6518164150098,1210.6604892287908,990.991327186219,point_estimate_only,False
FROZEN_SIMPLE,46,1285496,0.4599999212755367,191537,1093959,663,6055,2268.2913379660326,1237.564483528809,1030.7268544372237,point_estimate_only,False
FROZEN_SIMPLE,47,1313441,0.46999971730760903,195756,1117685,670,6176,2350.57983407916,1264.467515115226,1086.1123189639338,point_estimate_only,False
FROZEN_SIMPLE,48,1341387,0.47999987117815096,199973,1141414,680,6290,2408.668420236732,1291.371509415244,1117.296910821488,point_estimate_only,False
FROZEN_SIMPLE,49,1369332,0.4899996672102233,204008,1165324,700,6420,2421.4960197639307,1318.274541001661,1103.2214787622697,point_estimate_only,False
FROZEN_SIMPLE,50,1397278,0.49999982108076524,208175,1189103,713,6565,2492.318654977783,1345.1785353016792,1147.1401196761037,point_estimate_only,False
FROZEN_SIMPLE,51,1425224,0.5099999749513071,212346,1212878,717,6583,2487.6390042666217,1372.0825296016972,1115.5564746649245,point_estimate_only,False
FROZEN_SIMPLE,52,1453169,0.5199997709833795,216522,1236647,718,6609,2508.2040254569974,1398.985561188114,1109.2184642688835,point_estimate_only,False
FROZEN_SIMPLE,53,1481115,0.5299999248539214,220765,1260350,719,6627,2522.2204833193664,1425.8895554881324,1096.330927831234,point_estimate_only,False
FROZEN_SIMPLE,54,1509060,0.5399997208859937,224969,1284091,720,6648,2538.342580533318,1452.792587074549,1085.5499934587692,point_estimate_only,False
FROZEN_SIMPLE,55,1537006,0.5499998747565357,229260,1307746,722,6676,2557.564110616767,1479.6965813745674,1077.8675292421995,point_estimate_only,False
FROZEN_SIMPLE,56,1564951,0.559999670788608,233437,1331514,727,6697,2550.225161392581,1506.5996129609841,1043.6255484315968,point_estimate_only,False
FROZEN_SIMPLE,57,1592897,0.5699998246591499,237643,1355254,729,6718,2560.5867120007742,1533.5036072610021,1027.0831047397721,point_estimate_only,False
FROZEN_SIMPLE,58,1620843,0.5799999785296919,241816,1379027,735,6728,2536.445905151024,1560.4076015610206,976.0383035900034,point_estimate_only,False
FROZEN_SIMPLE,59,1648788,0.5899997745617642,245950,1402838,737,6744,2540.334189875991,1587.3106331474373,953.0235567285536,point_estimate_only,False
FROZEN_SIMPLE,60,1676734,0.5999999284323061,250255,1426479,739,6767,2554.624698807216,1614.2146274474553,940.4100713597609,point_estimate_only,False
FROZEN_SIMPLE,61,1704679,0.6099997244643784,254485,1450194,741,6783,2560.378808181229,1641.1176590338723,919.2611491473567,point_estimate_only,False
FROZEN_SIMPLE,62,1732625,0.6199998783349203,258664,1473961,742,6808,2579.815706862957,1668.0216533338903,911.7940535290668,point_estimate_only,False
FROZEN_SIMPLE,63,1760570,0.6299996743669927,262908,1497662,748,6814,2552.999284920961,1694.9246849203073,858.0746000006538,point_estimate_only,False
FROZEN_SIMPLE,64,1788516,0.6399998282375347,266990,1521526,749,6835,2566.5892954792316,1721.8286792203255,844.7606162589061,point_estimate_only,False
FROZEN_SIMPLE,65,1816462,0.6499999821080765,271191,1545271,751,6862,2582.7336489780264,1748.7326735203435,834.0009754576829,point_estimate_only,False
FROZEN_SIMPLE,66,1844407,0.6599997781401489,275376,1569031,754,6884,2587.876249201092,1775.6357051067605,812.2405440943314,point_estimate_only,False
FROZEN_SIMPLE,67,1872353,0.6699999320106907,279570,1592783,756,6896,2588.871381049469,1802.5396994067785,786.3316816426907,point_estimate_only,False
FROZEN_SIMPLE,68,1900298,0.6799997280427631,283924,1616374,760,6908,2581.3342725518096,1829.4427309931953,751.8915415586143,point_estimate_only,False
FROZEN_SIMPLE,69,1928244,0.6899998819133051,288116,1640128,762,6926,2588.2418192672394,1856.3467252932137,731.8950939740257,point_estimate_only,False
FROZEN_SIMPLE,70,1956189,0.6999996779453774,292284,1663905,765,6942,2587.032485527774,1883.2497568796305,703.7827286481436,point_estimate_only,False
FROZEN_SIMPLE,71,1984135,0.7099998318159193,296456,1687679,769,6960,2582.1997497099064,1910.1537511796485,672.045998530258,point_estimate_only,False
FROZEN_SIMPLE,72,2012081,0.7199999856864612,300647,1711434,776,6972,2554.6175415021607,1937.0577454796667,617.5597960224941,point_estimate_only,False
FROZEN_SIMPLE,73,2040026,0.7299997817185335,304907,1735119,776,6989,2573.055649755499,1963.9607770660834,609.0948726894155,point_estimate_only,False
FROZEN_SIMPLE,74,2067972,0.7399999355890755,309207,1758765,778,7006,2580.7471111585446,1990.8647713661019,589.8823397924427,point_estimate_only,False
FROZEN_SIMPLE,75,2095917,0.7499997316211479,313417,1782500,781,7034,2592.2099886094247,2017.7678029525187,574.4421856569061,point_estimate_only,False
FROZEN_SIMPLE,76,2123863,0.7599998854916897,317665,1806198,784,7044,2586.287529315474,2044.6717972525366,541.6157320629372,point_estimate_only,False
FROZEN_SIMPLE,77,2151808,0.7699996815237621,322054,1829754,784,7055,2600.6937780620638,2071.5748288389536,529.1189492231101,point_estimate_only,False
FROZEN_SIMPLE,78,2179754,0.779999835394304,326316,1853438,785,7067,2608.288720136309,2098.4788231389716,509.80989699733755,point_estimate_only,False
FROZEN_SIMPLE,79,2207700,0.7899999892648459,330494,1877206,785,7078,2619.199809981422,2125.38281743899,493.81699254243176,point_estimate_only,False
FROZEN_SIMPLE,80,2235645,0.7999997852969183,334685,1900960,786,7088,2623.639302627844,2152.2858490254066,471.3534536024372,point_estimate_only,False
FROZEN_SIMPLE,81,2263591,0.8099999391674602,338936,1924655,788,7098,2623.3259022352304,2179.1898433254246,444.1360589098058,point_estimate_only,False
FROZEN_SIMPLE,82,2291536,0.8199997351995325,343028,1948508,789,7107,2625.229380691955,2206.0928749118416,419.13650578011357,point_estimate_only,False
FROZEN_SIMPLE,83,2319482,0.8299998890700744,347309,1972173,789,7119,2638.7115623263435,2232.9968692118596,405.7146931144839,point_estimate_only,False
FROZEN_SIMPLE,84,2347427,0.8399996851021467,351506,1995921,790,7127,2641.2228297667752,2259.8999007982766,381.3229289684987,point_estimate_only,False
FROZEN_SIMPLE,85,2375373,0.8499998389726887,355838,2019535,792,7138,2643.056458275957,2286.803895098295,356.25256317766207,point_estimate_only,False
FROZEN_SIMPLE,86,2403319,0.8599999928432306,360086,2043233,797,7143,2620.5895175041514,2313.707889398313,306.88162810583844,point_estimate_only,False
FROZEN_SIMPLE,87,2431264,0.8699997888753029,364374,2066890,797,7148,2627.0645600399594,2340.61092098473,286.45363905522936,point_estimate_only,False
FROZEN_SIMPLE,88,2459210,0.8799999427458449,368547,2090663,799,7164,2631.4987532119376,2367.514915284748,263.9838379271896,point_estimate_only,False
FROZEN_SIMPLE,89,2487155,0.8899997387779173,372745,2114410,802,7173,2623.6249044252772,2394.417946871165,229.20695755411225,point_estimate_only,False
FROZEN_SIMPLE,90,2515101,0.8999998926484591,377057,2138044,803,7183,2629.71142028924,2421.321941171183,208.3894791180569,point_estimate_only,False
FROZEN_SIMPLE,91,2543046,0.9099996886805315,381241,2161805,804,7194,2634.9645867049976,2448.2249727576,186.73961394739763,point_estimate_only,False
