utc_date,dim_name,dim_value_key,dim_value_label,current_amount,history_amount_sum,history_days,history_mean_amount,amount_difference,current_share,history_share,signed_contribution,direction,js_component,direction_rank,cumulative_same_direction_share,share_status
2019-10-25,brand_group,brand:galaxy,galaxy,0,36.78,3,12.26,-12.26,0,0.0000281449969945382559570764767749941175,0.000183619640352128352824489927554114001,same_direction,1.4072498497269127e-05,108,0.999430055404637684083529352202706583,defined
2019-10-25,brand_group,brand:garmin,garmin,0,0,3,0,0,0,0,0,unchanged,0.0,,,defined
2019-10-25,brand_group,brand:gefest,gefest,244.51,179.98,3,59.9933333333333333333333333333333333,184.516666666666666666666666666666667,0.000662928858794444986394111111659387038,0.000137725300681810639128728229743432335,-0.00276353050345080613665025555730233293,offsetting,0.00013519215665523277,21,,defined
2019-10-25,brand_group,brand:gerat,gerat,0,0,3,0,0,0,0,0,unchanged,0.0,,,defined
2019-10-25,brand_group,brand:gigabyte,gigabyte,0,0,3,0,0,0,0,0,unchanged,0.0,,,defined
2019-10-25,brand_group,brand:goodyear,goodyear,59.2,384.82,3,128.273333333333333333333333333333333,-69.0733333333333333333333333333333333,0.000160506271484320245366371018814100498,0.000294474109392012279972870304310854712,0.00103452044246242624448860257715507078,same_direction,1.444037872959794e-05,72,0.984059710047132333146702072428995586,defined
2019-10-25,brand_group,brand:gorenje,gorenje,0,280.81,3,93.6033333333333333333333333333333333,-93.6033333333333333333333333333333333,0,0.000214882996357702220100778832060524691,0.00140190949448834047734217010757125483,same_direction,0.00010744149817885111,59,0.972080224914021649599901061145370433,defined
2019-10-25,brand_group,brand:greyder,greyder,0,0,3,0,0,0,0,0,unchanged,0.0,,,defined
2019-10-25,brand_group,brand:haier,haier,1024.35,2522.37,3,840.79,183.56,0.00277727363505005816454463096490242981,0.00193018205734403101355222927468575074,-0.00274920238034556936741136795284120441,offsetting,5.5278629164544324e-05,22,,defined
2019-10-25,brand_group,brand:hankook,hankook,101.68,198.2,3,66.0666666666666666666666666666666667,35.6133333333333333333333333333333333,0.000275680366292663556568456168800975314,0.000151667710829730351568585037977265745,-0.000533385600196340217938240996734136484,offsetting,1.316830533060606e-05,47,,defined
2019-10-25,brand_group,brand:hansa,hansa,286.41,1650.33,3,550.11,-263.7,0.000776530425942975700597674383421393979,0.00126287473871659379971838014997487879,0.00394946975210899238497699787080096754,same_direction,4.22368355591652e-05,35,0.935125030801630772375061206273126911,defined
2019-10-25,brand_group,brand:harper,harper,102.19,150.79,3,50.2633333333333333333333333333333333,51.9266666666666666666666666666666667,0.000277063106131464288411984027240083275,0.000115388365872931582810428546299656416,-0.000777712549593652931022268649113101661,offsetting,2.4752505349949322e-05,41,,defined
2019-10-25,brand_group,brand:hertz,hertz,0,165.41,3,55.1366666666666666666666666666666667,-55.1366666666666666666666666666666667,0,0.000126575963916981319137031539514730206,0.000825789143845719163694912422966992847,same_direction,6.328798195849065e-05,82,0.991025110031178069201526453159756920,defined
2019-10-25,brand_group,brand:honor,honor,0,553.27,3,184.423333333333333333333333333333333,-184.423333333333333333333333333333333,0,0.000423376359085594912272205065396981930,0.00276213263778200254940743725442807649,same_direction,0.00021168817954279746,39,0.943872862077256374746604628118997885,defined
2019-10-25,brand_group,brand:housefit,housefit,0,203.35,3,67.7833333333333333333333333333333333,-67.7833333333333333333333333333333333,0,0.000155608622589433234063934245573546868,0.00101519994196860523509679246242874068,same_direction,7.780431129471662e-05,74,0.985582987299546536476883784769880293,defined
2019-10-25,brand_group,brand:hp,hp,1698.09,7151.44,3,2383.81333333333333333333333333333333,-685.723333333333333333333333333333333,0.00460395429974340144348278654287222828,0.00547246485336108388204662857715508243,0.0102701689924738413153876004422647281,same_direction,2.7033204573038505e-05,15,0.842771775001536578699637815790275035,defined
2019-10-25,brand_group,brand:huawei,huawei,7791.64,26182.82,3,8727.60666666666666666666666666666667,-935.966666666666666666666666666666667,0.0211251196815555573751086331931198987,0.0200357637359580244382289591526332648,0.0140180964694056879253911165736595080,same_direction,1.0399685054069156e-05,13,0.825463715165200424973766071258767139,defined
2019-10-25,brand_group,brand:hubert,hubert,931.76,2526.67,3,842.223333333333333333333333333333333,89.5366666666666666666666666666666667,0.00252623857294307824024611250828084932,0.00193347252735698681835417133151371362,-0.00134100249034761274747651548233579559,offsetting,2.850102164387314e-05,32,,defined
