round,effect,N,p0,delta,delta_fraction,delta_pp,q,q_fraction,n_A,n_B,K,tau,flips_B,buyers_A,buyers_B,mean_A,mean_B,difference,difference_pp,difference_per_10000,relative_change,se,ci_low,ci_high,p_value,df,method,unit,status,reason,estimation_error,two_sided_rejection,positive_rejection,negative_rejection,srm_status,srm_statistic,srm_p,srm_flag
4,0.50,84165,0.05717340937444306,0.005,1/200,0.5,0.00530320214736683,5611/1058040,42088,42077,430,0.005109012059644745,223,2363,2672,0.056144269150351644,0.06350262613779499,0.007358356987443346,0.7358356987443346,73.58356987443345,0.13106158649492827,0.0016347601033809445,0.004154286061453719,0.010562427913432973,6.757578616802063e-06,,unpooled_wald_z_min_cell_10,probability,ok,,0.002249344927798605,True,True,False,ok,0.0014376522307372422,0.9697543493199434,False
4,S1_REFERENCE,84165,0.05717340937444306,0.005717340937444306,802/140275,0.5717340937444306,0.006064042947336585,802/132255,42088,42077,487,0.005786253193132538,249,2363,2698,0.056144269150351644,0.06412054091308791,0.00797627176273627,0.797627176273627,79.7627176273627,0.1420674252856725,0.0016386737748210068,0.004764530181676798,0.011188013343795742,1.1300935533478241e-06,,unpooled_wald_z_min_cell_10,probability,ok,,0.002190018569603729,True,True,False,ok,0.0014376522307372422,0.9697543493199434,False
4,0.80,84165,0.05717340937444306,0.008,1/125,0.8,0.008485123435786926,5611/661275,42088,42077,684,0.008126893601853502,360,2363,2809,0.056144269150351644,0.06675856168453075,0.010614292534179101,1.0614292534179102,106.14292534179101,0.18905389089231062,0.0016552164034385898,0.007370127996819545,0.013858457071538658,1.4302913565812665e-10,,unpooled_wald_z_min_cell_10,probability,ok,,0.0024873989323255952,True,True,False,ok,0.0014376522307372422,0.9697543493199434,False
5,0,84165,0.05717340937444306,0.0,0,0.0,0.0,0,42060,42105,0,0.0,0,2372,2440,0.05639562529719448,0.05795036218976369,0.001554736892569207,0.1554736892569207,15.547368925692071,0.027568395321020595,0.0016005595993428866,-0.0015823022772527093,0.0046917760623911235,0.3313636532717765,,unpooled_wald_z_min_cell_10,probability,ok,,0.0015547368925692018,False,False,False,ok,0.024059882373908395,0.8767326413050505,False
5,0.10,84165,0.05717340937444306,0.001,1/1000,0.1,0.0010606404294733658,5611/5290200,42060,42105,93,0.0011049723756906078,49,2372,2489,0.05639562529719448,0.05911411946324664,0.00271849416605216,0.271849416605216,27.1849416605216,0.04820399014509016,0.0016081650556054434,-0.0004334514241303624,0.005870439756234682,0.09094527851869574,,unpooled_wald_z_min_cell_10,probability,ok,,0.0016135217903615535,False,False,False,ok,0.024059882373908395,0.8767326413050505,False
5,0.20,84165,0.05717340937444306,0.002,1/500,0.2,0.0021212808589467316,5611/2645100,42060,42105,177,0.0021030119408305117,96,2372,2536,0.05639562529719448,0.06023037643985275,0.0038347511426582645,0.3834751142658265,38.34751142658264,0.0679973157926672,0.0016154077321032226,0.00066861016738842,0.007000892117928109,0.017603242920442182,,unpooled_wald_z_min_cell_10,probability,ok,,0.0017317392018277534,True,True,False,ok,0.024059882373908395,0.8767326413050505,False
5,0.30,84165,0.05717340937444306,0.003,3/1000,0.3,0.0031819212884200976,5611/1763400,42060,42105,277,0.003291154280282778,136,2372,2576,0.05639562529719448,0.06118038237738986,0.004784757080195379,0.47847570801953787,47.847570801953786,0.08484269932252009,0.0016215318555258195,0.001606613043580366,0.007962901116810391,0.0031698948968116843,,unpooled_wald_z_min_cell_10,probability,ok,,0.0014936027999125968,True,True,False,ok,0.024059882373908395,0.8767326413050505,False
5,0.40,84165,0.05717340937444306,0.004,1/250,0.4,0.004242561717893463,5611/1322550,42060,42105,367,0.004360482385789817,190,2372,2630,0.05639562529719448,0.062462890393064956,0.0060672650958704735,0.6067265095870473,60.672650958704736,0.1075839670878213,0.001629742056382718,0.0028730293612701002,0.009261500830470847,0.00019699619680237923,,unpooled_wald_z_min_cell_10,probability,ok,,0.0017067827100806549,True,True,False,ok,0.024059882373908395,0.8767326413050505,False
5,0.46,84165,0.05717340937444306,0.0046,23/5000,0.46,0.0048789459755774825,129053/26451000,42060,42105,422,0.005013960672488564,223,2372,2663,0.05639562529719448,0.06324664529153307,0.0068510199943385836,0.6851019994338583,68.51019994338584,0.12148140849994976,0.0016347273384624773,0.003647013286409109,0.010055026702268058,2.7781924923733046e-05,,unpooled_wald_z_min_cell_10,probability,ok,,0.0018370593218500239,True,True,False,ok,0.024059882373908395,0.8767326413050505,False
5,0.50,84165,0.05717340937444306,0.005,1/200,0.5,0.00530320214736683,5611/1058040,42060,42105,473,0.00561991326560922,251,2372,2691,0.05639562529719448,0.06391164944780905,0.0075160241506145725,0.7516024150614573,75.16024150614572,0.13327317697084692,0.0016389384024784878,0.004303763908877125,0.01072828439235202,4.5201311101112244e-06,,unpooled_wald_z_min_cell_10,probability,ok,,0.0018961108850053447,True,True,False,ok,0.024059882373908395,0.8767326413050505,False
